"124","Puka Nacua","WR","LAR","4.2","-","-","-","-","BYE","-","11.1","1.1","9.8","18.3","11.7","12.3","29.8","10.8","5.6","12.9","-","11.6","127.6"
"125","Cam Little","K","JAC","7","7","5","11","14","4","6","10","1","1","8","BYE","6","4","15","2","10","15","7.4","126"
"126","DK Metcalf","WR","PIT","2.9","18.9","16.4","8.4","3.5","4.8","15.9","-","BYE","-","7","5.9","6.6","4.9","2.8","11.7","4.2","11.3","8.3","125.2"
"127","Chad Ryland","K","ARI","-","-","-","-","11","8","5","10","11","7","BYE","6","17","4","14","15","3","14","9.6","125"
"128","Dak Prescott","QB","DAL","11.5","14.9","29.9","16.7","18.4","5.2","BYE","15.6","12.3","-","-","-","-","-","-","-","-","-","15.6","124.5"
"129","Alec Pierce","WR","IND","18.5","11.6","4.4","0.9","19.4","0","1.5","1.1","4.1","14.1","7.4","3.9","7.6","BYE","0","-","18.2","11.7","7.8","124.4"
"130","Detroit Lions","DST","DET","5","8","7","7","BYE","18","6","16","9","8","10","7","6","2","-4","7","5","6","7.2","123"
"131","Tank Bigsby","RB","PHI","7.3","0","0.9","9","24.9","2.4","23.8","8.6","2.2","0.4","-","-","3.5","12.2","4.2","9.1","3.3","10.2","7.6","122"
"132","Chicago Bears","DST","CHI","24","6","5","8","14","9","BYE","3","7","4","4","4","4","-1","5","0","12","13","7.1","121"
"133","Justin Fields","QB","NYJ","11.9","11.4","19.4","32","15.9","23.7","-","-","-","-","1.7","2.6","0.7","-","0.8","-","-","-","12","120.1"
"134","Joey Slye","K","TEN","10","8","4","11","4","3","5","5","7","13","11","1","12","-","7","3","1","15","7.1","120"
"134","Baltimore Ravens","DST","BAL","4","7","5","9","1","5","6","3","10","4","7","4","2","BYE","6","14","17","16","7.1","120"
"134","Younghoe Koo","K","NYG","4","10","7","20","17","12","2","7","3","5","9","-","8","7","9","-","-","-","8.6","120"
"137","Quentin Johnston","WR","LAC","3.8","17.1","10.4","1.3","BYE","2.2","-","-","18","8.4","10.8","0","1.2","10.8","10.5","1.8","4.8","18.6","8","119.7"
"138","Los Angeles Rams","DST","LAR","4","-1","3","3","10","BYE","17","6","22","7","9","-3","1","4","12","9","14","1","6.9","118"
"138","Jake Moody","K","CHI","26","5","6","13","8","-","BYE","-","-","12","5","5","4","8","9","5","4","8","8.4","118"
"140","Keenan Allen","WR","LAC","2.9","-","-","1.9","3.3","16.1","-","3.9","3.6","4.4","4.1","14.6","19.3","3","14.2","20.1","2.5","1.5","7.7","115.4"
"141","Austin Seibert","K","FA","-","22","9","11","10","15","17","13","9","-","-","9","-","-","-","-","-","-","12.8","115"
"142","Sam LaPorta","TE","DET","4.5","1.3","3.6","5.3","BYE","11.2","2.5","10.8","2.8","12.6","-","1.9","12.6","5.4","11.1","10.3","12.4","6.3","7.2","114.6"
"143","Cooper Rush","QB","BAL","-0.1","0.2","-","-","-","1","-","-","11","-2","17.4","18","11.8","14.8","19.1","15.3","8.1","-","9.5","114.6"
"144","Tucker Kraft","TE","GB","3.7","1.6","2.4","11.3","20.8","1.5","9.3","13.8","3.6","BYE","0","8.6","7.8","10.1","3.4","6.5","5.3","3.6","6.7","113.3"
"145","Josh Downs","WR","IND","-","-","2.2","14.2","6.9","12.5","0.3","18.2","6","7.2","14.4","2.7","-","BYE","3.2","12.1","2.2","9.4","8","111.5"
"146","Zach Ertz","TE","WAS","2.8","6.2","3.8","4.2","1","6.8","10","7.7","0.5","3.1","12.7","9.8","9.5","BYE","2.5","1.2","19.2","10.4","6.6","111.4"
"147","Dallas Cowboys","DST","DAL","17","1","-1","4","6","-1","BYE","1","4","8","2","22","17","4","15","8","-4","8","6.5","111"
"148","Cairo Santos","K","CHI","13","11","6","7","6","5","BYE","1","13","3","9","9","2","1","6","5","4","8","6.4","109"
"149","Cooper Kupp","WR","SEA","18","3.7","-","-","-","-","-","11.1","10.4","8","22.6","12","1.7","15.2","0","2.4","2.9","-","9","108"
"149","Nick Folk","K","NYJ","6","6","2","24","-","6","4","2","8","5","8","18","9","7","3","-","-","-","7.7","108"
"151","Eddy Pineiro","K","SF","5","3","13","7","4","9","1","2","6","10","-","13","12","4","2","6","2","8","6.3","107"
"152","Khalil Shakir","WR","BUF","10.2","5.6","13.2","6.2","-","1.9","6.5","10.9","5","5.8","7","BYE","3","16.6","9.9","2.2","2.5","-","7.1","106.5"
"153","Gardner Minshew II","QB","KC","11.8","13.9","15","5","9.7","BYE","1.4","15","3","-","19","12.7","-","-","-","-","-","-","10.6","106.3"
"154","Joe Flacco","QB","CLE","-","-","-","15","26.6","14.7","-","0","4.1","13.9","-","-","-","-","-","-","17.3","14.6","13.3","106"
"154","Kansas City Chiefs","DST","KC","4","11","5","6","7","BYE","8","8","2","5","1","2","6","4","21","7","13","-4","6.2","106"
"156","Javonte Williams","RB","DAL","2.3","6.5","2.1","8","11.1","1.6","23.1","5.2","8.4","0.7","14.7","0.4","6.4","-","2.3","5.3","0","7.8","6.2","105.9"
"157","George Pickens","WR","DAL","7.5","2.9","5.7","9.3","2.6","5.3","17.1","7.4","-","15.5","8.9","4.8","13.4","-","-","-","5","0","7.5","105.4"
"158","Mason Rudolph","QB","PIT","-","-","-","3.4","-","-","10.9","21.5","18.5","-","-","-","-","-","16.8","17.4","13","3.3","13.1","104.8"
"159","Mac Jones","QB","SF","-","-","-1.1","-","-","0.2","-","-","BYE","7.2","5.2","-","20","7.1","20.7","13.9","17.2","13.7","10.4","104.1"
"160","Tampa Bay Buccaneers","DST","TB","3","5","2","11","4","17","0","3","5","5","BYE","10","3","10","8","1","14","3","6.1","104"
"160","Cincinnati Bengals","DST","CIN","2","9","-2","2","1","8","15","-4","10","-4","3","BYE","8","8","19","18","4","7","6.1","104"
"162","Jordan Mason","RB","MIN","21.2","16.4","8.8","22","7.8","8.2","6.9","1.8","-","0.5","1.3","1.3","7.8","-","-","-","-","-","8.7","104"
"163","Nick Westbrook-Ikhine","WR","MIA","0","0","0","0","-","6.9","7","9.9","11","3.1","17.7","10.8","18.1","1.9","0.9","7.7","3.7","5","6.1","103.7"
